LOCUS	ID_MSU7	ID_IRGSP	ID_NCBI	Aliases
Chr04_31854429	LOC_Os04g53496	Os04g0626450,Os04g0626500	LOC9266802,LOC4337070	#N/A
Chr04_31861786	LOC_Os04g53496	None	LOC9266802,LOC4337070	#N/A
Chr04_32963620	LOC_Os04g55420	Os04g0647900	LOC4337207	#N/A
Chr04_32974844	LOC_Os04g55440	Os04g0648200	LOC4337209	#N/A
Chr04_32991267	None	Os04g0648400	LOC112936049,LOC4337210,LOC112938753	#N/A
Chr04_33113231	LOC_Os04g55620	Os04g0649700	LOC4337221	#N/A
Chr04_34171618	LOC_Os04g57430	Os04g0670100	LOC4337350	#N/A
Chr04_34302180	LOC_Os04g57630	Os04g0672100	LOC4337364	OsPSKR2
Chr04_34332129	LOC_Os04g57660	Os04g0672600	LOC4337367	#N/A
Chr04_34901951	LOC_Os04g58700	Os04g0683600	LOC4337446	#N/A
Chr04_35043555	LOC_Os04g58910	Os04g0685900	LOC4337467	OsRLCK174
Chr05_00227008	LOC_Os05g01370	Os05g0104150	LOC4337548	PGIP2
Chr05_03158232	LOC_Os05g06240	Os05g0154300	None	#N/A
Chr05_04172893	LOC_Os05g07740	Os05g0169600	LOC4337932	#N/A
Chr05_04213542	LOC_Os05g07820	Os05g0170300	LOC4337937	#N/A
Chr05_04239980	LOC_Os05g07850	Os05g0170700	LOC9268978	#N/A
Chr05_05446871	LOC_Os05g09640	Os05g0188700	LOC9270327	#N/A
Chr05_07211727	LOC_Os05g12570	Os05g0216950	LOC107278080	#N/A
Chr05_07330296	LOC_Os05g12770	None	LOC107280919	#N/A
Chr05_08534757	LOC_Os05g15040	Os05g0240200	LOC4338187	OsWD40-115
Chr05_08879371	LOC_Os05g15720	Os05g0246600	LOC4338207	#N/A
Chr05_09147922	LOC_Os05g16180	Os05g0250600	LOC107278334	#N/A
Chr05_09154980	LOC_Os05g16200	Os05g0250700	LOC4338219	#N/A
Chr05_09318044	LOC_Os05g16430	Os05g0253200	LOC4338226	#N/A
Chr05_09461699	LOC_Os05g16670	Os05g0256100	LOC4338230	#N/A
Chr05_09517551	LOC_Os05g16740	Os05g0256500	LOC4338232	#N/A
Chr05_09586066	LOC_Os05g16824	Os05g0257100	LOC4338235	#N/A
Chr05_09643930	LOC_Os05g16930	Os05g0258400	LOC4338238	#N/A
Chr05_09722450	LOC_Os05g17050	None	LOC107280932	#N/A
Chr05_10126180	LOC_Os05g17604	Os05g0261700	LOC112936064,LOC4338239	#N/A
Chr05_10232800	LOC_Os05g17810	Os05g0263100	LOC107275616	#N/A
Chr05_10404235	LOC_Os05g18090	None	LOC107281061	#N/A
Chr05_13277175	LOC_Os05g23250	None	LOC112939055,LOC9267951	#N/A
Chr05_13817708	LOC_Os05g23990	Os05g0305600	LOC4338364	#N/A
Chr05_13834310	LOC_Os05g24010	Os05g0305900	LOC4338366	#N/A
Chr05_17517293	LOC_Os05g30220	Os05g0365300	LOC4338554	OsRP1L1, RP1L1, OsBBR1, BBR1, rNBS33
Chr05_18342847	LOC_Os05g31530	Os05g0379500	LOC107277738	A1.1-4
Chr05_18354322	LOC_Os05g31550	None	LOC107275590	rNBS78
Chr05_18377214	LOC_Os05g31570	Os05g0380300	LOC4338629	#N/A
Chr05_18396847	LOC_Os05g31610	None	LOC4338632	#N/A
Chr05_19118218	LOC_Os05g32660	Os05g0393100	LOC4338692	#N/A
Chr05_19449733	LOC_Os05g33160	Os05g0399800	LOC9267740	#N/A
Chr05_19829198	LOC_Os05g33690	Os05g0406800	LOC4338760	#N/A
Chr05_20258661	LOC_Os05g34220	Os05g0414200	LOC4338793	#N/A
Chr05_20266361	LOC_Os05g34230	Os05g0414300	LOC4338794	#N/A
Chr05_20285741	LOC_Os05g34270	Os05g0414700	LOC4338797	OsMSrlk1
Chr05_23116818	LOC_Os05g39410	Os05g0471000	LOC4339075	#N/A
Chr05_23524087	LOC_Os05g40050	Os05g0478300	LOC4339111	#N/A
Chr05_23585400	LOC_Os05g40150	Os05g0479700	LOC4339112	#N/A
Chr05_23586768	LOC_Os05g40160	Os05g0479800	LOC4339113	#N/A
Chr05_23608342	LOC_Os05g40200	Os05g0480400	LOC4339119	#N/A
Chr05_23654542	LOC_Os05g40270	Os05g0481100	LOC9272054	#N/A
Chr05_23905329	LOC_Os05g40770	Os05g0486100	LOC4339142	OsRPK1
Chr05_24151478	LOC_Os05g41230	Os05g0491400	LOC4339174	#N/A
Chr05_24184535	LOC_Os05g41290	Os05g0492200	LOC4339179	YR1, YR11, YR20, YR22, YR24, YR7, r1
Chr05_24197214	LOC_Os05g41310	Os05g0492600	LOC4339181	YR48, r13
Chr05_26025719	LOC_Os05g44770	Os05g0522600	LOC10727654	#N/A
Chr05_26113320	LOC_Os05g44930	Os05g0524500	LOC4339370	#N/A
Chr05_26120321	LOC_Os05g44940	Os05g0524600	LOC4339371	#N/A
Chr05_26131430	LOC_Os05g44960	Os05g0525000	LOC4339374	#N/A
Chr05_26143305	LOC_Os05g44970	Os05g0525400,Os05g0525501	LOC9272354	#N/A
Chr05_26153207	LOC_Os05g44990	Os05g0525600	LOC4339376	#N/A
Chr05_26159844	LOC_Os05g45010	Os05g0525800	LOC4339378	OsRLCK190
Chr05_29132313	LOC_Os05g50780	None	None	#N/A
Chr05_29132875	LOC_Os05g50790	None	LOC107276992	#N/A
Chr05_29307333	LOC_Os05g51070	Os05g0588250,Os05g0588300	LOC9268325	OsJ_RLL1
Chr05_29681781	LOC_Os05g51740	Os05g0595800	LOC9266544	#N/A
Chr06_01351183	LOC_Os06g03500	Os06g0125000	LOC4339959	#N/A
Chr06_01605798	LOC_Os06g03970	Os06g0130100	LOC4340000	OsSIK1, OsER2, ER2, OsERL, ERL,PK3
Chr06_01864557	LOC_Os06g04370	Os06g0134700	LOC4340032	#N/A
Chr06_02098813	LOC_Os06g04810	None	LOC9271649	#N/A
Chr06_02110063	LOC_Os06g04830	Os06g0140200	LOC4340067	#N/A
Chr06_02115430	LOC_Os06g04840	Os06g0140300	LOC4340068	#N/A
Chr06_02410328	LOC_Os06g05359	Os06g0146100	LOC4340110	Pi9(t), Pi9(t)*, Pi9, Pi-9(t)
Chr06_02977720	LOC_Os06g06380	Os06g0158300	LOC4340190	#N/A
Chr06_02984289	LOC_Os06g06390	Os06g0158400	LOC9271972	#N/A
Chr06_02989061	LOC_Os06g06400	Os06g0158500	LOC4340191	#N/A
Chr06_03239082	LOC_Os06g06850	None	LOC9268734	#N/A
Chr06_03246263	LOC_Os06g06860	Os06g0163900	LOC4340226	#N/A
Chr06_03408671	LOC_Os06g07130	Os06g0167500	LOC4340252	#N/A
Chr06_03661323	LOC_Os06g07590	None	LOC112939312	#N/A
Chr06_03960590	LOC_Os06g08154	Os06g0179800	LOC4340304	#N/A
Chr06_04326731	LOC_Os06g08680	Os06g0185966	LOC9269236	OsSTA171
Chr06_04334806	LOC_Os06g08690	Os06g0186100	LOC107276838	#N/A
Chr06_04342791	LOC_Os06g08710	Os06g0186300	LOC4340343	#N/A
Chr06_05018115	LOC_Os06g09860	Os06g0198900	LOC4340402	OsRLCK202
Chr06_05251473	LOC_Os06g10230	Os06g0203800	LOC4340427	OsRLCK204, OsER1, ER1
Chr06_06488130	LOC_Os06g12120	Os06g0225300	LOC4340544	OsSERK3, OsSERL6, OsBI-SERK1, OsBAK1-3
Chr06_07333622	LOC_Os06g13330	Os06g0241200	LOC4340626	#N/A
Chr06_08918582	LOC_Os06g15730	Os06g0267900	LOC4340717	#N/A
Chr06_08939018	LOC_Os06g15750	Os06g0268500	LOC107278428	#N/A
Chr06_09150341	LOC_Os06g16070	None	LOC4340731	#N/A
Chr06_09289327	LOC_Os06g16300	Os06g0274300	LOC4340742	SEPK1
Chr06_09316158	LOC_Os06g16330	Os06g0274500	LOC4340743	OsSERL2, SERL2, SERK1, OsBAK1-7, BAK1-7
Chr06_09423051	LOC_Os06g16450	Os06g0276300	LOC4340753	#N/A
Chr06_09724859	LOC_Os06g16790	Os06g0279900	LOC4340758	#N/A
Chr06_10375889	LOC_Os06g17880	Os06g0286500	LOC4340777	Nbs1-Pi9, Nbs1-Pi2, Nbs1-NPB
Chr06_10382004	LOC_Os06g17900	Os06g0286700	LOC107281440	Piz, Piz (Pi2, Pi-z, Piz), Pi-z, Pi2, Pi-2
Chr06_10397097	LOC_Os06g17910	None	LOC112939341	#N/A
Chr06_10405659	LOC_Os06g17920	Os06g0287000	LOC4340779	#N/A
Chr06_10421138	LOC_Os06g17930	Os06g0287200	LOC107281202	#N/A
Chr06_10437207	LOC_Os06g17950	Os06g0287500	LOC9266404	#N/A
Chr06_10446051	LOC_Os06g17970	Os06g0287700	LOC9268881,LOC112939325	#N/A
Chr06_11500110	LOC_Os06g20050	Os06g0304700	LOC4340841	#N/A
Chr06_12070739	None	Os06g0314400	LOC107278142	#N/A
Chr06_13058027	LOC_Os06g22460	Os06g0330100	LOC4340920	Pi-d3, Pid3, Pi25, Pid3-I1, qBRM6.2
Chr06_13541654	LOC_Os06g23190	Os06g0339500	LOC9267517	#N/A
Chr06_16198360	LOC_Os06g28480	Os06g0478600	LOC4341044	#N/A
Chr06_17584536	LOC_Os06g30430	None	LOC107276649	#N/A
Chr06_19434895	LOC_Os06g33360	Os06g0524900	LOC4341183	#N/A
Chr06_20522201	LOC_Os06g35200	Os06g0544100	LOC4341238	#N/A
Chr06_21255311	LOC_Os06g36270	Os06g0557100	LOC4341290	#N/A
Chr06_21274554	LOC_Os06g36310	Os06g0557400	LOC4341293	#N/A
Chr06_21279322	LOC_Os06g36320	Os06g0557700	LOC4341294	#N/A
Chr06_22398668	LOC_Os06g37810,LOC_Os06g37820	Os06g0575900	LOC107281295,LOC107281203	#N/A
Chr06_22714602	LOC_Os06g38340	Os06g0581500	LOC4341380	#N/A
Chr06_22804441	LOC_Os06g38490	Os06g0583600	LOC107276079	#N/A
Chr06_22863057	LOC_Os06g38590	Os06g0585950	LOC9271893	#N/A
Chr06_22938990	LOC_Os06g38640	None	LOC107281299	#N/A
Chr06_22951396	LOC_Os06g38650	Os06g0585982	LOC107276520	#N/A
Chr06_22958561	LOC_Os06g38670	Os06g0586150	LOC9266952	#N/A
Chr06_22969122	None	None	LOC107275566	#N/A
Chr06_22992411	LOC_Os06g38730	Os06g0587000	LOC4341398	#N/A
Chr06_23005341	LOC_Os06g38760	Os06g0587200	LOC107275653	#N/A
Chr06_23016201	LOC_Os06g38780	None	LOC4341402	#N/A
Chr06_23052316	LOC_Os06g38830	Os06g0587900	None	#N/A
Chr06_23093973	LOC_Os06g38930	Os06g0588800	LOC107276401	#N/A
Chr06_23131803	LOC_Os06g38970	Os06g0589600	LOC4341407	#N/A
Chr06_23148606	LOC_Os06g38990	Os06g0589800	LOC4341409	#N/A
Chr06_23358852	None	Os06g0594200	None	#N/A
Chr06_24866966	LOC_Os06g41480	Os06g0619000	LOC4341541	#N/A
Chr06_24935193	LOC_Os06g41640	None	LOC4341545	#N/A
Chr06_24944377	LOC_Os06g41660	None	LOC4341546	#N/A
Chr06_24951289	None	None	LOC107281450	#N/A
Chr06_24958460	LOC_Os06g41670	Os06g0621600	LOC4341547	#N/A
Chr06_24976052	LOC_Os06g41690	Os06g0621800	LOC112939294,LOC9268388	#N/A
Chr06_25348635	LOC_Os06g42220	Os06g0627500	LOC4341578	#N/A
Chr06_25732888	LOC_Os06g42800	Os06g0634500	LOC9271669	#N/A
Chr06_25949428	LOC_Os06g43170	Os06g0638500	LOC4341615	#N/A
Chr06_26279804	LOC_Os06g43670	Os06g0644466	LOC4341646	#N/A
Chr06_26953958	None	None	None	#N/A
Chr06_27226619	LOC_Os06g45020	Os06g0660800	LOC4341741	#N/A
Chr06_27339387	LOC_Os06g45240	Os06g0663000	LOC107276473	OsSTA177
Chr06_27622829	LOC_Os06g45630	Os06g0667000	LOC4341784	#N/A
Chr06_27666632	LOC_Os06g45690	Os06g0667900	LOC107278764	#N/A
Chr06_28853501	LOC_Os06g47650	Os06g0691800	LOC4341910	LRR-RLK1
Chr06_28870890	LOC_Os06g47700	Os06g0692100	LOC4341911	#N/A
Chr06_28873805	LOC_Os06g47710	None	LOC107281316	#N/A
Chr06_28878068	LOC_Os06g47720	Os06g0692300	LOC107276087	#N/A
Chr06_28892150	LOC_Os06g47740	Os06g0692500	LOC107275628	#N/A
Chr06_28901805	LOC_Os06g47750	Os06g0692600	LOC4341912	#N/A
Chr06_28907909	LOC_Os06g47760	Os06g0692700	LOC4341913	#N/A
Chr06_28929228	LOC_Os06g47800	Os06g0693100	LOC4341916	#N/A
Chr06_29356136	LOC_Os06g48520	Os06g0698802,Os06g0698812	LOC107278751	#N/A
Chr06_29682808	LOC_Os06g48990	Os06g0703200	LOC9271614	#N/A
Chr06_29906667	LOC_Os06g49350	Os06g0707350,Os06g0707400	LOC107278294,LOC4342014	#N/A
Chr06_29923705	LOC_Os06g49380	Os06g0707700	LOC4342015	#N/A
Chr06_29931821	LOC_Os06g49390	Os06g0707733	LOC107277356	#N/A
Chr06_29945554	LOC_Os06g49420	Os06g0707800	LOC9266824	#N/A
Chr06_30474459	LOC_Os06g50340	Os06g0717200	LOC4342080	FON1,OsRLCK219
Chr07_00425022	LOC_Os07g01710	Os07g0107800	LOC4342205	OsPSKR3
Chr07_00841812	LOC_Os07g02450	None	None	#N/A
Chr07_01120936	LOC_Os07g03000	Os07g0121200	LOC4342285	#N/A
Chr07_01683186	LOC_Os07g03990	None	LOC9267138	#N/A
Chr07_01816006	LOC_Os07g04190	Os07g0134200	LOC4342345	OsRLCK222
Chr07_01851557	LOC_Os07g04220	Os07g0134600	LOC9266449	#N/A
Chr07_02152124	None	Os07g0141700	LOC4342373	#N/A
Chr07_02167122	LOC_Os07g04900	Os07g0141900	LOC107275575	#N/A
Chr07_02318127	LOC_Os07g05190	Os07g0145400	LOC4342391	#N/A
Chr07_02761631	LOC_Os07g05740	Os07g0152200	LOC4342417	#N/A
Chr07_03583971	LOC_Os07g07230	Os07g0166700	LOC4342487	PK2
Chr07_04585208	LOC_Os07g08850	None	LOC107281574	#N/A
Chr07_04619843	LOC_Os07g08890	Os07g0186500	LOC4342596	#N/A
Chr07_05273419	LOC_Os07g09900	Os07g0197300	LOC107276420	#N/A
Chr07_05293886	LOC_Os07g09940	Os07g0197500	LOC107276604	#N/A
Chr07_05726515	LOC_Os07g10560	Os07g0206300	LOC9268206	#N/A
Chr07_05777263	LOC_Os07g10630	Os07g0207100	LOC4342694	#N/A
Chr07_07244764	LOC_Os07g12670	None	None	#N/A
Chr07_08468428	LOC_Os07g14820	Os07g0251900	LOC4342846	#N/A
Chr07_10145905	LOC_Os07g17220	Os07g0273600	LOC4342905	#N/A
Chr07_10159775	LOC_Os07g17230	Os07g0273700	LOC4342906	OsWRKY123, DLN183, OsDLN183
Chr07_10173194	LOC_Os07g17250	Os07g0273900	LOC112939658	#N/A
Chr07_10286888	LOC_Os07g17420	None	LOC112939668	#N/A
Chr07_11435933	LOC_Os07g19320	Os07g0294100	LOC107277279	#N/A
Chr07_15191864	LOC_Os07g26430	None	LOC9270276	#N/A
Chr07_15195541	LOC_Os07g26430	None	LOC9270276	#N/A
Chr07_15446746	LOC_Os07g26730	None	None	#N/A
Chr07_15931490	LOC_Os07g27370	None	LOC107281553	#N/A
Chr07_16531646	LOC_Os07g28300	Os07g0466500	LOC107278747	#N/A
Chr07_16722609	LOC_Os07g28570	Os07g0468500	LOC107281678	#N/A
Chr07_17524087	LOC_Os07g29810	Os07g0481300	LOC4343235	#N/A
Chr07_17534329	LOC_Os07g29820	Os07g0481400	LOC4343236	#N/A
Chr07_18692305	LOC_Os07g31500	Os07g0498400	LOC4343304	#N/A
Chr07_18904535	LOC_Os07g31800	None	LOC107277901	#N/A
Chr07_18920341	LOC_Os07g31840	Os07g0501800	LOC4343315	#N/A
Chr07_20135239	LOC_Os07g33690	Os07g0521100	LOC4343405	#N/A
Chr07_20155591	LOC_Os07g33710	Os07g0521300	LOC4343406	#N/A
Chr07_20157911	LOC_Os07g33720	Os07g0521500	LOC112939693	#N/A
Chr07_20170141	LOC_Os07g33730	Os07g0521600	LOC4343409	#N/A
Chr07_20174058	LOC_Os07g33740	Os07g0521800	LOC4343411	#N/A
Chr07_20822105	LOC_Os07g34750	Os07g0531900	LOC107278115	#N/A
Chr07_21029434	LOC_Os07g35110	Os07g0535600	LOC107277498	#N/A
Chr07_22676749	LOC_Os07g37810	Os07g0565400	LOC4343624	#N/A
Chr07_22827257	LOC_Os07g38070	Os07g0568100	LOC4343639	OsSYMRK
Chr07_23210602	LOC_Os07g38640	Os07g0574100	LOC4343690	#N/A
Chr07_24351636	LOC_Os07g40630	Os07g0597200	LOC4343798	#N/A
Chr07_24459910	LOC_Os07g40810	Os07g0599100	LOC4343809	#N/A
Chr07_24621258	LOC_Os07g41140	Os07g0602700	LOC4343832	OsJRPK22/OsRPK1
Chr07_25517020	LOC_Os07g42626	Os07g0618400	LOC4343918	#N/A
Chr07_25950325	LOC_Os07g43350	Os07g0626500	LOC4343970	#N/A
Chr07_28866172	LOC_Os07g48310	Os07g0681100	LOC4344301	#N/A
Chr08_00342215	LOC_Os08g01580	None	LOC4344454	#N/A
Chr08_00974328	LOC_Os08g02440	Os08g0117700	LOC4344526	#N/A
Chr08_02771088	LOC_Os08g05290	Os08g0148300	LOC4344655	#N/A
Chr08_02878953	LOC_Os08g05440	None	LOC107277544	Pi36
Chr08_03108896	LOC_Os08g05800	None	LOC107277214	#N/A
Chr08_04088233	None	None	LOC107281894	#N/A
Chr08_04106065	LOC_Os08g07330	Os08g0170100	LOC4344767	#N/A
Chr08_04111868	LOC_Os08g07340	Os08g0170200	LOC4344768	#N/A
Chr08_04138358	LOC_Os08g07380	Os08g0170700	LOC4344769	#N/A
Chr08_04151915	LOC_Os08g07390	Os08g0170800	LOC4344770	#N/A
Chr08_04344455	LOC_Os08g07760	Os08g0174700	LOC4344785	OsSERK1, OsBAK1, OsSERK1/OsBAK1, OsBISERK1, OsSerk1, OsBAK1-1, 08SG2/OsBAK1, 08SG2, SG2
Chr08_04352911	LOC_Os08g07774	Os08g0174800	LOC4344786	#N/A
Chr08_04440181	LOC_Os08g07890	Os08g0176200	LOC4344796	ORK1, OsRLCK246, RLCK246
Chr08_04462101	LOC_Os08g07930	Os08g0176633	LOC9269960	#N/A
Chr08_04474830	LOC_Os08g07940	None	LOC107281895	#N/A
Chr08_04487727	LOC_Os08g07950	None	LOC107281879	#N/A
Chr08_05279294	LOC_Os08g09110	Os08g0190300	LOC4344848	#N/A
Chr08_05469304	LOC_Os08g09430	Os08g0193700	LOC107276215	#N/A
Chr08_05879195	LOC_Os08g10150	Os08g0201500	LOC4344906	ST1
Chr08_05942667	LOC_Os08g10240,LOC_Os08g10250	Os08g0202300	LOC4344909	#N/A
Chr08_05967847	LOC_Os08g10270	None	None	#N/A
Chr08_05980963	LOC_Os08g10290	Os08g0203100,Os08g0203201	LOC4344912	#N/A
Chr08_05998249	LOC_Os08g10300	Os08g0203300	LOC4344913	#N/A
Chr08_06015818	LOC_Os08g10310	Os08g0203400	LOC4344914	#N/A
Chr08_06032317	LOC_Os08g10320	Os08g0203600	LOC9271323	#N/A
Chr08_06040604	LOC_Os08g10330	Os08g0203700	LOC4344916	#N/A
Chr08_06127785	LOC_Os08g10430	Os08g0205100	LOC4344922	#N/A
Chr08_06138056	LOC_Os08g10440	Os08g0205150	LOC9270064	#N/A
Chr08_07551330	LOC_Os08g12740	Os08g0224000	LOC9270784	OsOSC12
Chr08_08232048	LOC_Os08g13800	Os08g0235600,Os08g0235651	None	#N/A
Chr08_08908418	LOC_Os08g14810	None	LOC9272267	#N/A
Chr08_08926372	LOC_Os08g14830	Os08g0246100	LOC107281911	#N/A
Chr08_08939573	LOC_Os08g14850	Os08g0246300	LOC4345058	#N/A
Chr08_09001834	LOC_Os08g14940	Os08g0247600	LOC4345064	#N/A
Chr08_09016956	LOC_Os08g14950	Os08g0247700	LOC107276554	#N/A
Chr08_09025842	LOC_Os08g14960	None	LOC107276939	#N/A
Chr08_09039794	LOC_Os08g14990	Os08g0248100	LOC4345065	#N/A
Chr08_09671380	LOC_Os08g15880	None	LOC9267185	#N/A
Chr08_09798581	LOC_Os08g16070	Os08g0260800	LOC4345107	#N/A
Chr08_09825247	LOC_Os08g16120	Os08g0261000	LOC4345108	#N/A
Chr08_10071863	LOC_Os08g16460	Os08g0265300	LOC9267061	#N/A
Chr08_10144699	LOC_Os08g16580	Os08g0266400	LOC4345121	#N/A
Chr08_10658260	LOC_Os08g17410	Os08g0276400	LOC4345155	#N/A
Chr08_11798031	LOC_Os08g19694	Os08g0293300	LOC4345194	#N/A
Chr08_11965754	LOC_Os08g19980	Os08g0296600	LOC4345201	YR14,YR18,YR26
Chr08_11974848	LOC_Os08g20000	Os08g0296700	LOC4345202	YR36
Chr08_14055935	LOC_Os08g23290	Os08g0322500	LOC4345267	#N/A
Chr08_14673055	LOC_Os08g24310	Os08g0331900	LOC4345294	#N/A
Chr08_14717605	LOC_Os08g24380	Os08g0332600	LOC4345397	#N/A
Chr08_15435283	LOC_Os08g25380	Os08g0342300	LOC9272003	OsBRL3
Chr08_17372231	LOC_Os08g28460	None	None	#N/A
Chr08_17427398	LOC_Os08g28540	Os08g0372700	LOC107275487	#N/A
Chr08_17451968	LOC_Os08g28570	Os08g0373000	LOC107276515	#N/A
Chr08_17653845	LOC_Os08g28870	Os08g0376300	LOC4345424	#N/A
Chr08_18329828	LOC_Os08g29809	Os08g0387700	LOC4345465	#N/A
Chr08_18346022	LOC_Os08g29854	Os08g0388300	LOC4345466	#N/A
Chr08_19124597	None	None	LOC107281953	#N/A
Chr08_19697858	None	Os08g0400800	LOC4345511	#N/A
Chr08_19705239	LOC_Os08g31780	Os08g0411850	LOC4345556	#N/A
Chr08_19719130	LOC_Os08g31800	Os08g0412100	LOC4345557	#N/A
Chr08_20389564	LOC_Os08g32880	Os08g0424700	LOC112939908	#N/A
Chr08_20395487	LOC_Os08g32890	None	LOC112936208	#N/A
Chr08_20569373	LOC_Os08g33090	Os08g0427600	LOC107277965	#N/A
Chr08_21583488	LOC_Os08g34380	Os08g0442700	LOC4345699	COE1
Chr08_21760608	LOC_Os08g34640	Os08g0446200	LOC4345707	OsPEPR1
Chr08_21770154	LOC_Os08g34650	Os08g0446301,Os08g0446400	LOC4345708	OsPEPR2
Chr08_24379176	LOC_Os08g38560	Os08g0493800	LOC4345915	OsRLCK256
Chr08_25017318	LOC_Os08g39550	Os08g0505900	LOC4345978	PGIP6
Chr08_25034740	LOC_Os08g39570	Os08g0506100	LOC4345980	#N/A
Chr08_25060836	LOC_Os08g39590	Os08g0506400	LOC4345982	OsRLCK257
Chr08_25735566	LOC_Os08g40650	Os08g0518400	LOC4346049	#N/A
Chr08_25933872	LOC_Os08g40990	Os08g0521200	LOC4346070	OsRLCK258
Chr08_26159872	LOC_Os08g41430	None	None	#N/A
Chr08_26978129	LOC_Os08g42670	Os08g0539400	LOC4346181	#N/A
Chr08_26989744	LOC_Os08g42700	Os08g0539700	LOC4346183	Pib-H8, PibH8
Chr08_27016962	LOC_Os08g42710	Os08g0539900	LOC107276609	#N/A
Chr08_27086426	LOC_Os08g42840	Os08g0541300	LOC4346191	#N/A
Chr08_27130160	LOC_Os08g42930	Os08g0542200	LOC4346196	#N/A
Chr08_27179263	LOC_Os08g43000	Os08g0543050	LOC9271308	PIC27
Chr08_27185247	LOC_Os08g43010	Os08g0543100	LOC4346203	#N/A
Chr08_27209931	LOC_Os08g43050	Os08g0543500	LOC112935982	#N/A
Chr08_28292480	LOC_Os08g45060	Os08g0564700	LOC4346347	#N/A
Chr09_00906946	LOC_Os09g02250	Os09g0110100	LOC4346389	#N/A
Chr09_02385669	LOC_Os09g04490	Os09g0131200	LOC4346452	#N/A
Chr09_03805649	LOC_Os09g07580,LOC_Os09g07590	None	LOC107277013	#N/A
Chr09_04933207	LOC_Os09g09220	None	LOC107276230	#N/A
Chr09_05110134	LOC_Os09g09490	Os09g0267800	LOC9268330	RPM1
Chr09_05276098	LOC_Os09g09750	Os09g0270700	LOC112936438	#N/A
Chr09_05483585	LOC_Os09g10054	Os09g0272900	LOC4346585	#N/A
Chr09_06120137	LOC_Os09g11020	None	LOC107278825	#N/A
Chr09_06958911	LOC_Os09g12240	Os09g0293500	LOC4346640	OsBRL1
Chr09_08118804	LOC_Os09g13820	None	LOC4346678	#N/A
Chr09_08267832	LOC_Os09g14010	None	LOC107278834	#N/A
Chr09_08316031	LOC_Os09g14060	None	LOC107276074	#N/A
Chr09_08354311	LOC_Os09g14100	Os09g0311600	LOC4346689	#N/A
Chr09_08516455	LOC_Os09g14410	Os09g0313500	LOC4346690	#N/A
Chr09_08537185	LOC_Os09g14450	Os09g0313600	LOC9266360	#N/A
Chr09_08568977	LOC_Os09g14490	Os09g0314200	LOC112936484	r16
Chr09_09419945	None	Os09g0322800	None	#N/A
Chr09_09581077	LOC_Os09g15700	Os09g0326100	LOC4346740	#N/A
Chr09_09674617	None	Os09g0327575	LOC9272502	Pi3, Pi5, Pi-3(t), Pi-3, Pi3(t), Pi5(t), Pi5-1, Pii, RMg22, RMg21
Chr09_09681913	LOC_Os09g15850	Os09g0327800,Os09g0328066	LOC4346750	#N/A
Chr09_09777527	LOC_Os09g16000	None	LOC107276529	Pi56, qBR9.1, Pi56(t)
Chr09_10785210	LOC_Os09g17630	Os09g0345300	LOC4346800	#N/A
Chr09_10808220	None	Os09g0345600	LOC107278749	#N/A
Chr09_10937014	LOC_Os09g17880,LOC_Os09g17890	Os09g0348400	LOC4346814	#N/A
Chr09_10956083	LOC_Os09g17910	Os09g0348600	LOC9267814	OsRLCK264
Chr09_11004822	LOC_Os09g17970,LOC_Os09g17990	None	LOC112936039,LOC4346817	#N/A
Chr09_11020020	LOC_Os09g18000,LOC_Os09g18010	Os09g0349600	LOC9267979	#N/A
Chr09_11039914	LOC_Os09g18020	Os09g0349700	LOC4346819	#N/A
Chr09_11059910	LOC_Os09g18040	None	LOC4346820,LOC112936342	#N/A
Chr09_11143786	LOC_Os09g18159	Os09g0350900	LOC4346821	#N/A
Chr09_11184394	LOC_Os09g18230	Os09g0351700,Os09g0351800	LOC4346822	OsRLCK265
Chr09_11213452	LOC_Os09g18260	None	LOC4346823	#N/A
Chr09_11268028	LOC_Os09g18360	Os09g0353200	LOC4346825	#N/A
Chr09_11372007	LOC_Os09g18530	None	LOC107276752	#N/A
Chr09_11387269	LOC_Os09g18594	Os09g0355400	LOC4346832	#N/A
Chr09_11436373	LOC_Os09g19140	Os09g0356000	LOC4346833	OsRLCK266, OsSIRK1
Chr09_11446568	LOC_Os09g19160	Os09g0356200	LOC4346835	#N/A
Chr09_11506443	LOC_Os09g19229	Os09g0356800	LOC4346837	#N/A
Chr09_11556180	LOC_Os09g19280	Os09g0357400	LOC4346839,LOC4346840	#N/A
Chr09_11588842	LOC_Os09g19350	Os09g0358000	LOC9266163	#N/A
Chr09_11622785	LOC_Os09g19390,LOC_Os09g19400	None	LOC107278492	OsRPK2, RPK2,OsRPK3, RPK3
Chr09_11664442	LOC_Os09g19500,LOC_Os09g19510	Os09g0359500	LOC4346841	#N/A
Chr09_11993428	LOC_Os09g20020	Os09g0365000	LOC9271983	OsVQ34
Chr09_11998700	LOC_Os09g20030	Os09g0365300	LOC4346874	#N/A
Chr09_12005852	LOC_Os09g20040	None	LOC107278148	r14
Chr09_12627180	LOC_Os09g20970	Os09g0376600	LOC112936394	#N/A
Chr09_14009920	LOC_Os09g23570	Os09g0400500	LOC4346994	#N/A
Chr09_15320529	LOC_Os09g25540	Os09g0423200	LOC9270998	#N/A
Chr09_17321153	LOC_Os09g28470	Os09g0458300	LOC4347270	#N/A
