LOCUS	ID_OsKitaake
kitaake_Chr07_22729871	OsKitaake07g194800
kitaake_Chr07_23186862	OsKitaake07g200400
kitaake_Chr07_24339524	OsKitaake07g216500
kitaake_Chr07_24436806	OsKitaake07g217900
kitaake_Chr07_24681189	OsKitaake07g219800
kitaake_Chr07_25478871	OsKitaake07g231100
kitaake_Chr07_25912427	OsKitaake07g236700
kitaake_Chr07_28848993	OsKitaake07g275300
kitaake_Chr08_00344749	OsKitaake08g005100
kitaake_Chr08_00981379	OsKitaake08g013100
kitaake_Chr08_02768839	OsKitaake08g030400
kitaake_Chr08_02877490	OsKitaake08g031700
kitaake_Chr08_03107476	OsKitaake08g035000
kitaake_Chr08_04139548	OsKitaake08g046900
kitaake_Chr08_04157680	OsKitaake08g047100
kitaake_Chr08_04163483	OsKitaake08g047200
kitaake_Chr08_04180368	None
kitaake_Chr08_04189944	OsKitaake08g047400
kitaake_Chr08_04203528	OsKitaake08g047600
kitaake_Chr08_04416300	OsKitaake08g050200
kitaake_Chr08_04424756	OsKitaake08g050300
kitaake_Chr08_04526346	OsKitaake08g051100
kitaake_Chr08_04548264	OsKitaake08g051500
kitaake_Chr08_04560930	OsKitaake08g051600
kitaake_Chr08_04573822	OsKitaake08g051700
kitaake_Chr08_05342448	OsKitaake08g058100
kitaake_Chr08_05530451	OsKitaake08g060500
kitaake_Chr08_05945868	OsKitaake08g064500,OsKitaake08g064600
kitaake_Chr08_06009308	OsKitaake08g064900
kitaake_Chr08_06034487	OsKitaake08g065000
kitaake_Chr08_06054727	OsKitaake08g065100
kitaake_Chr08_06072002	OsKitaake08g065300
kitaake_Chr08_06089591	OsKitaake08g065500
kitaake_Chr08_06106150	OsKitaake08g065600
kitaake_Chr08_06114437	OsKitaake08g065700
kitaake_Chr08_06195730	OsKitaake08g066400
kitaake_Chr08_06206002	OsKitaake08g066500
kitaake_Chr08_07227447	OsKitaake08g069614,OsKitaake08g069621
kitaake_Chr08_07772943	OsKitaake08g071200
kitaake_Chr08_08453647	None
kitaake_Chr08_09124721	OsKitaake08g083101
kitaake_Chr08_09142723	OsKitaake08g083200
kitaake_Chr08_09155924	OsKitaake08g083400
kitaake_Chr08_09218187	OsKitaake08g083900,OsKitaake08g084000
kitaake_Chr08_09233309	OsKitaake08g084200,OsKitaake08g084300
kitaake_Chr08_09242197	OsKitaake08g084400
kitaake_Chr08_09256150	OsKitaake08g084600
kitaake_Chr08_09863904	OsKitaake08g091700
kitaake_Chr08_09991094	OsKitaake08g092200
kitaake_Chr08_10005401	OsKitaake08g092300
kitaake_Chr08_10355300	OsKitaake08g093200,OsKitaake08g093300
kitaake_Chr08_10433928	None
kitaake_Chr08_10959207	OsKitaake08g098400
kitaake_Chr08_12036698	OsKitaake08g105200
kitaake_Chr08_12204395	OsKitaake08g106000
kitaake_Chr08_12213490	OsKitaake08g106100
kitaake_Chr08_14263984	OsKitaake08g112233
kitaake_Chr08_14838106	OsKitaake08g116200
kitaake_Chr08_14885174	OsKitaake08g116600
kitaake_Chr08_15699547	OsKitaake08g121200
kitaake_Chr08_17986335	None
kitaake_Chr08_18041324	OsKitaake08g134100
kitaake_Chr08_18065894	OsKitaake08g134300
kitaake_Chr08_18092869	OsKitaake08g134500
kitaake_Chr08_18267847	OsKitaake08g136000
kitaake_Chr08_18907198	OsKitaake08g140200
kitaake_Chr08_18923392	OsKitaake08g140300
kitaake_Chr08_19720433	None
kitaake_Chr08_20311229	OsKitaake08g149900
kitaake_Chr08_20327053	OsKitaake08g150000
kitaake_Chr08_20947870	OsKitaake08g157100
kitaake_Chr08_20953793	OsKitaake08g157232
kitaake_Chr08_21131294	OsKitaake08g158700
kitaake_Chr08_22151595	OsKitaake08g169000
kitaake_Chr08_22328422	OsKitaake08g170300
kitaake_Chr08_22337969	OsKitaake08g170400
kitaake_Chr08_25214718	OsKitaake08g196700
kitaake_Chr08_25858582	OsKitaake08g205400
kitaake_Chr08_25876003	OsKitaake08g205600,OsKitaake08g205700
kitaake_Chr08_25902077	OsKitaake08g205900
kitaake_Chr08_26593708	None
kitaake_Chr08_26792047	OsKitaake08g216600
kitaake_Chr08_27038757	None
kitaake_Chr08_27853216	OsKitaake08g232800
kitaake_Chr08_27864831	OsKitaake08g233200
kitaake_Chr08_27892053	OsKitaake08g233400
kitaake_Chr08_27961472	OsKitaake08g234200
kitaake_Chr08_28005172	OsKitaake08g234800
kitaake_Chr08_28054310	OsKitaake08g235300
kitaake_Chr08_28060294	OsKitaake08g235400,OsKitaake08g235500
kitaake_Chr08_28085204	OsKitaake08g236000
kitaake_Chr08_29163189	OsKitaake08g253400
kitaake_Chr09_00866538	OsKitaake09g005500
kitaake_Chr09_02370510	OsKitaake09g012400
kitaake_Chr09_03715239	None
kitaake_Chr09_04830981	OsKitaake09g027400
kitaake_Chr09_04996850	OsKitaake09g029000,OsKitaake09g029100
kitaake_Chr09_05180298	OsKitaake09g030000
kitaake_Chr09_05387776	OsKitaake09g030900
kitaake_Chr09_06025162	OsKitaake09g034900
kitaake_Chr09_06763581	OsKitaake09g038800
kitaake_Chr09_08067727	OsKitaake09g045400
kitaake_Chr09_08216965	OsKitaake09g046400
kitaake_Chr09_08265164	OsKitaake09g046700
kitaake_Chr09_08303433	OsKitaake09g046800
kitaake_Chr09_09017669	OsKitaake09g052700
kitaake_Chr09_09257600	OsKitaake09g055300
kitaake_Chr09_09351357	OsKitaake09g056500
kitaake_Chr09_09358653	OsKitaake09g056600
kitaake_Chr09_09454536	None
kitaake_Chr09_10353763	OsKitaake09g064200
kitaake_Chr09_10378201	OsKitaake09g064500
kitaake_Chr09_10513175	OsKitaake09g065801
kitaake_Chr09_10532227	OsKitaake09g065900
kitaake_Chr09_10582608	OsKitaake09g066100
kitaake_Chr09_10593867	OsKitaake09g066200
kitaake_Chr09_10613757	OsKitaake09g066300
kitaake_Chr09_10633431	OsKitaake09g066400
kitaake_Chr09_10718103	OsKitaake09g066600
kitaake_Chr09_10758831	OsKitaake09g066700
kitaake_Chr09_10787893	OsKitaake09g066900
kitaake_Chr09_10842461	OsKitaake09g067200
kitaake_Chr09_10941710	OsKitaake09g067900
kitaake_Chr09_10956972	OsKitaake09g068100
kitaake_Chr09_10980760	OsKitaake09g068200
kitaake_Chr09_11022833	OsKitaake09g068800
kitaake_Chr09_11034356	OsKitaake09g068900,OsKitaake09g069000
kitaake_Chr09_11093054	OsKitaake09g069200
kitaake_Chr09_11142736	OsKitaake09g069400
kitaake_Chr09_11178368	OsKitaake09g069600,OsKitaake09g069700
kitaake_Chr09_11213812	OsKitaake09g069900
kitaake_Chr09_11255387	OsKitaake09g070100
kitaake_Chr09_11646819	OsKitaake09g074000,OsKitaake09g074100
kitaake_Chr09_11652091	OsKitaake09g074400
kitaake_Chr09_11659205	OsKitaake09g074500
kitaake_Chr09_12281048	OsKitaake09g080200
kitaake_Chr09_13699786	OsKitaake09g092100
kitaake_Chr09_15013483	OsKitaake09g103700
kitaake_Chr09_17056310	OsKitaake09g126500
kitaake_Chr09_18112536	OsKitaake09g139200
kitaake_Chr09_18132638	OsKitaake09g139500
kitaake_Chr09_18142632	OsKitaake09g139600
kitaake_Chr09_19924692	OsKitaake09g166000
kitaake_Chr09_19930213	OsKitaake09g166100
kitaake_Chr09_22060233	OsKitaake09g197600
kitaake_Chr10_00936236	None
kitaake_Chr10_01233212	OsKitaake10g009400
kitaake_Chr10_01272702	OsKitaake10g009600
kitaake_Chr10_01314623	OsKitaake10g009800
kitaake_Chr10_01502875	None
kitaake_Chr10_01613785	OsKitaake10g011300
kitaake_Chr10_01710465	OsKitaake10g012000
kitaake_Chr10_01943866	OsKitaake10g015300
kitaake_Chr10_01961646	OsKitaake10g015400
kitaake_Chr10_01966115	OsKitaake10g015500
kitaake_Chr10_01977647	OsKitaake10g015600
kitaake_Chr10_02024664	OsKitaake10g016000
kitaake_Chr10_02087962	OsKitaake10g016300
kitaake_Chr10_02124251	OsKitaake10g016400
kitaake_Chr10_02292894	OsKitaake10g018600
kitaake_Chr10_02832718	None
kitaake_Chr10_03640684	OsKitaake10g027200
kitaake_Chr10_03655023	OsKitaake10g027300
kitaake_Chr10_04052131	OsKitaake10g030600
kitaake_Chr10_04168282	OsKitaake10g031600,OsKitaake10g031700
kitaake_Chr10_04266690	OsKitaake10g032200
kitaake_Chr10_04289122	OsKitaake10g032300
kitaake_Chr10_04362081	OsKitaake10g032600
kitaake_Chr10_04387985	OsKitaake10g032700
kitaake_Chr10_04444058	OsKitaake10g033050
kitaake_Chr10_04498520	OsKitaake10g033400
kitaake_Chr10_06024725	OsKitaake10g041500
kitaake_Chr10_08091086	OsKitaake10g051200
kitaake_Chr10_09446390	OsKitaake10g054900
kitaake_Chr10_09461448	OsKitaake10g055100
kitaake_Chr10_10196220	OsKitaake10g059200
kitaake_Chr10_10305895	OsKitaake10g059700
kitaake_Chr10_11612111	OsKitaake10g069200
kitaake_Chr10_11744107	None
kitaake_Chr10_11870600	None
kitaake_Chr10_12012747	None
kitaake_Chr10_12225671	None
kitaake_Chr10_12249094	None
kitaake_Chr10_12351387	OsKitaake10g074100
kitaake_Chr10_12355045	OsKitaake10g074200
kitaake_Chr10_12555743	OsKitaake10g076300
kitaake_Chr10_12572070	OsKitaake10g076400
kitaake_Chr10_12583480	OsKitaake10g076501
kitaake_Chr10_13560032	OsKitaake10g081700
kitaake_Chr10_13806470	OsKitaake10g084400,OsKitaake10g084500
kitaake_Chr10_16563165	OsKitaake10g112502
kitaake_Chr10_18017456	OsKitaake10g127000
kitaake_Chr10_18056717	OsKitaake10g127300
kitaake_Chr10_18066625	OsKitaake10g127400
kitaake_Chr10_18079307	OsKitaake10g127402
kitaake_Chr10_18094157	OsKitaake10g127404
kitaake_Chr10_18105965	None
kitaake_Chr10_18111110	OsKitaake10g128100
kitaake_Chr10_18351238	OsKitaake10g129700
kitaake_Chr10_19464146	OsKitaake10g142600
kitaake_Chr10_20165075	OsKitaake10g153000
kitaake_Chr10_20171496	None
kitaake_Chr10_21338916	OsKitaake10g168200
kitaake_Chr10_21453448	OsKitaake10g170300
kitaake_Chr10_23350040	OsKitaake10g198400
kitaake_Chr11_00014731	OsKitaake11g000032
kitaake_Chr11_00278977	OsKitaake11g002400
kitaake_Chr11_01367220	OsKitaake11g017400
kitaake_Chr11_03119290	None
kitaake_Chr11_03498072	OsKitaake11g048400
kitaake_Chr11_03516116	OsKitaake11g049001
kitaake_Chr11_03521587	OsKitaake11g049001
kitaake_Chr11_03529317	OsKitaake11g049300
kitaake_Chr11_03533035	None
kitaake_Chr11_03534603	OsKitaake11g049300
kitaake_Chr11_03545087	OsKitaake11g049400
kitaake_Chr11_03560475	OsKitaake11g049500
kitaake_Chr11_03568685	OsKitaake11g049600
kitaake_Chr11_03596500	OsKitaake11g049700
kitaake_Chr11_03606869	OsKitaake11g049800
kitaake_Chr11_03619963	OsKitaake11g050000
kitaake_Chr11_03627771	OsKitaake11g050200
kitaake_Chr11_03633284	OsKitaake11g050300
kitaake_Chr11_03641992	OsKitaake11g050400,OsKitaake11g050500
kitaake_Chr11_03650633	OsKitaake11g050600
kitaake_Chr11_03657150	OsKitaake11g050700
kitaake_Chr11_04942313	OsKitaake11g063000
kitaake_Chr11_04948000	OsKitaake11g063100
kitaake_Chr11_05700229	OsKitaake11g069800
kitaake_Chr11_05885123	OsKitaake11g071800
kitaake_Chr11_05899689	None
kitaake_Chr11_05926844	OsKitaake11g072200,OsKitaake11g072300,OsKitaake11g072400
kitaake_Chr11_05987618	OsKitaake11g072800
kitaake_Chr11_06017096	OsKitaake11g073100,OsKitaake11g073200
kitaake_Chr11_06550716	OsKitaake11g077900
kitaake_Chr11_06673981	OsKitaake11g079200
kitaake_Chr11_06685135	OsKitaake11g079400
kitaake_Chr11_06688875	OsKitaake11g079500
kitaake_Chr11_06995417	OsKitaake11g080240
kitaake_Chr11_07010522	OsKitaake11g080300
kitaake_Chr11_07027619	OsKitaake11g080400
kitaake_Chr11_07115479	OsKitaake11g080800
kitaake_Chr11_07125606	OsKitaake11g080900
kitaake_Chr11_07133593	OsKitaake11g081100
kitaake_Chr11_07148215	OsKitaake11g081400,OsKitaake11g081500
kitaake_Chr11_07182346	OsKitaake11g081600
kitaake_Chr11_07193612	OsKitaake11g081700
kitaake_Chr11_07200763	OsKitaake11g081800
kitaake_Chr11_07220437	OsKitaake11g082200
kitaake_Chr11_07330095	OsKitaake11g083600
kitaake_Chr11_07356855	None
kitaake_Chr11_07415837	OsKitaake11g083800
kitaake_Chr11_07588775	OsKitaake11g085300
kitaake_Chr11_07597708	None
kitaake_Chr11_07637659	None
kitaake_Chr11_07992104	OsKitaake11g088100
kitaake_Chr11_08073923	OsKitaake11g089100
kitaake_Chr11_08133894	OsKitaake11g089600
kitaake_Chr11_08349751	OsKitaake11g091000
kitaake_Chr11_08373915	OsKitaake11g091400
kitaake_Chr11_08849618	OsKitaake11g095000
kitaake_Chr11_09057662	None
kitaake_Chr11_09163845	None
kitaake_Chr11_09424779	OsKitaake11g098700
kitaake_Chr11_09452607	OsKitaake11g098900
kitaake_Chr11_09461579	OsKitaake11g099000,OsKitaake11g099100
kitaake_Chr11_09738986	OsKitaake11g100600
kitaake_Chr11_09824698	OsKitaake11g101000
kitaake_Chr11_09983535	OsKitaake11g101701
kitaake_Chr11_11536304	OsKitaake11g108800
kitaake_Chr11_12116149	OsKitaake11g112200
kitaake_Chr11_13942813	OsKitaake11g117000
kitaake_Chr11_15154431	OsKitaake11g123600
kitaake_Chr11_15994092	OsKitaake11g128200
kitaake_Chr11_15995951	OsKitaake11g128300
kitaake_Chr11_15999597	None
kitaake_Chr11_17007827	OsKitaake11g132900
kitaake_Chr11_17044441	OsKitaake11g133200
kitaake_Chr11_17056817	OsKitaake11g133400
kitaake_Chr11_17101083	OsKitaake11g133500
kitaake_Chr11_17109091	OsKitaake11g133632
kitaake_Chr11_17144299	OsKitaake11g133800
kitaake_Chr11_17382990	OsKitaake11g136000,OsKitaake11g136100,OsKitaake11g136200
kitaake_Chr11_17541978	OsKitaake11g137400
kitaake_Chr11_17644776	OsKitaake11g138200,OsKitaake11g138300
kitaake_Chr11_17668842	OsKitaake11g138500
kitaake_Chr11_17680366	OsKitaake11g138600
kitaake_Chr11_17689646	None
kitaake_Chr11_17701533	OsKitaake11g138800
kitaake_Chr11_17703130	OsKitaake11g138850,OsKitaake11g138900
kitaake_Chr11_17726870	OsKitaake11g139000
kitaake_Chr11_17800064	OsKitaake11g139300
kitaake_Chr11_19228825	OsKitaake11g149100
kitaake_Chr11_20740686	OsKitaake11g163300,OsKitaake11g163400
kitaake_Chr11_20752399	OsKitaake11g163600
kitaake_Chr11_20782971	OsKitaake11g163850
kitaake_Chr11_20804578	None
kitaake_Chr11_20955732	OsKitaake11g165300
kitaake_Chr11_21064327	OsKitaake11g167200
kitaake_Chr11_21082528	OsKitaake11g167600
kitaake_Chr11_21086173	None
kitaake_Chr11_21178832	OsKitaake11g167700
kitaake_Chr11_21185136	OsKitaake11g167800
kitaake_Chr11_21221608	OsKitaake11g168100
kitaake_Chr11_21244809	OsKitaake11g168200
kitaake_Chr11_21275470	None
kitaake_Chr11_21284386	None
kitaake_Chr11_21388611	None
kitaake_Chr11_21398796	None
kitaake_Chr11_21413508	None
kitaake_Chr11_21416999	OsKitaake11g169251
kitaake_Chr11_21423099	OsKitaake11g169400
kitaake_Chr11_21473432	OsKitaake11g169700
kitaake_Chr11_21525936	OsKitaake11g169900
kitaake_Chr11_21537237	None
kitaake_Chr11_21540217	OsKitaake11g170001
kitaake_Chr11_21551094	OsKitaake11g170100
kitaake_Chr11_21569983	None
kitaake_Chr11_21610578	OsKitaake11g170900
kitaake_Chr11_21629532	OsKitaake11g171100
kitaake_Chr11_21641080	OsKitaake11g171200
kitaake_Chr11_21648790	OsKitaake11g171300
kitaake_Chr11_21660064	OsKitaake11g171400
kitaake_Chr11_21671708	OsKitaake11g171600
kitaake_Chr11_21682772	OsKitaake11g171700,OsKitaake11g171800
kitaake_Chr11_21692095	OsKitaake11g172100
kitaake_Chr11_21879667	OsKitaake11g172900
kitaake_Chr11_22271876	OsKitaake11g176300
kitaake_Chr11_22280168	OsKitaake11g176400
kitaake_Chr11_22755180	OsKitaake11g180500
kitaake_Chr11_22769913	OsKitaake11g180600
kitaake_Chr11_22791391	OsKitaake11g180700
kitaake_Chr11_22807105	OsKitaake11g180800
kitaake_Chr11_22822485	None
kitaake_Chr11_22878066	OsKitaake11g181000,OsKitaake11g181101
kitaake_Chr11_22887212	OsKitaake11g181200
kitaake_Chr11_22901043	None
kitaake_Chr11_22910428	OsKitaake11g181400
kitaake_Chr11_23003710	OsKitaake11g182700
kitaake_Chr11_23022328	OsKitaake11g182800
kitaake_Chr11_23350713	None
kitaake_Chr11_23375130	OsKitaake11g186300
kitaake_Chr11_23402947	None
kitaake_Chr11_23433919	OsKitaake11g186700,OsKitaake11g186800
kitaake_Chr11_23900891	OsKitaake11g191800
kitaake_Chr11_23921289	OsKitaake11g192000
kitaake_Chr11_23965829	OsKitaake11g192300
kitaake_Chr11_23977232	OsKitaake11g192500
kitaake_Chr11_23994420	OsKitaake11g192700
kitaake_Chr11_23996583	OsKitaake11g192800
kitaake_Chr11_24006098	OsKitaake11g193000
kitaake_Chr11_24006901	OsKitaake11g192900
kitaake_Chr11_24023013	OsKitaake11g193200
kitaake_Chr11_24164239	OsKitaake11g194100
kitaake_Chr11_24247345	None
kitaake_Chr11_24517372	OsKitaake11g197600,OsKitaake11g197700
kitaake_Chr11_24761803	OsKitaake11g201100
kitaake_Chr11_25070157	OsKitaake11g203005,OsKitaake11g203010
kitaake_Chr11_25115084	OsKitaake11g203030
kitaake_Chr11_25233507	None
kitaake_Chr11_25266741	OsKitaake11g203075
kitaake_Chr11_25299032	OsKitaake11g203100
kitaake_Chr11_25360824	OsKitaake11g203900
kitaake_Chr11_25365804	OsKitaake11g204000
kitaake_Chr11_25411788	OsKitaake11g204400
kitaake_Chr11_25609895	OsKitaake11g206400
kitaake_Chr11_26048419	None
kitaake_Chr11_26076199	OsKitaake11g210700
kitaake_Chr11_26101724	OsKitaake11g210800
kitaake_Chr11_26105520	OsKitaake11g210900
kitaake_Chr11_26128967	OsKitaake11g211100
kitaake_Chr11_26142030	OsKitaake11g211200
kitaake_Chr11_26352652	OsKitaake11g213501
kitaake_Chr11_26427389	OsKitaake11g214900
kitaake_Chr11_26433698	OsKitaake11g214950
kitaake_Chr11_26495930	OsKitaake11g215300
kitaake_Chr11_26535063	None
kitaake_Chr11_26559218	OsKitaake11g215900
kitaake_Chr11_26565484	OsKitaake11g216000
kitaake_Chr11_26738539	OsKitaake11g217800
kitaake_Chr11_26815136	None
kitaake_Chr11_26824334	OsKitaake11g218200
kitaake_Chr11_26869200	OsKitaake11g218500
kitaake_Chr11_26908764	OsKitaake11g218700
kitaake_Chr11_26917706	None
kitaake_Chr11_26922501	OsKitaake11g219000
kitaake_Chr11_26937630	None
kitaake_Chr11_26956226	None
kitaake_Chr11_26987338	OsKitaake11g219450
kitaake_Chr11_27080509	OsKitaake11g220900
kitaake_Chr11_27143776	OsKitaake11g221450
kitaake_Chr11_27702459	OsKitaake11g226200
kitaake_Chr11_27942755	OsKitaake11g229100
kitaake_Chr11_27955105	OsKitaake11g229200
kitaake_Chr11_27962976	OsKitaake11g229400,OsKitaake11g229500
kitaake_Chr11_27981996	OsKitaake11g229700
kitaake_Chr11_27990489	OsKitaake11g229900
kitaake_Chr11_28003135	OsKitaake11g230100
kitaake_Chr11_28039040	OsKitaake11g230200
kitaake_Chr11_28053348	OsKitaake11g230300
kitaake_Chr11_28063199	OsKitaake11g230400
kitaake_Chr11_28084055	OsKitaake11g230520
kitaake_Chr11_28122043	OsKitaake11g230600
kitaake_Chr11_28138315	OsKitaake11g230700
kitaake_Chr11_28145129	OsKitaake11g230900
kitaake_Chr11_28153221	OsKitaake11g231100
kitaake_Chr11_28303255	OsKitaake11g232400
kitaake_Chr11_28404169	None
kitaake_Chr11_28474913	OsKitaake11g232700
kitaake_Chr11_28490976	None
kitaake_Chr11_28495994	OsKitaake11g233200
kitaake_Chr11_28534076	OsKitaake11g233800
kitaake_Chr11_28622867	OsKitaake11g234500
kitaake_Chr11_28624038	OsKitaake11g234600
kitaake_Chr11_28666219	OsKitaake11g234800
kitaake_Chr11_28692672	None
kitaake_Chr11_28737466	OsKitaake11g235300
kitaake_Chr11_28738581	OsKitaake11g235400
kitaake_Chr11_28799624	OsKitaake11g235600
kitaake_Chr11_28801485	OsKitaake11g235700
kitaake_Chr11_28851707	OsKitaake11g236100
kitaake_Chr11_28854265	OsKitaake11g236200
kitaake_Chr11_28959278	OsKitaake11g236900
kitaake_Chr11_28970221	OsKitaake11g237000
kitaake_Chr11_28981226	OsKitaake11g237200
kitaake_Chr11_28990350	None
kitaake_Chr11_29051366	OsKitaake11g238000
kitaake_Chr11_29061176	OsKitaake11g238100
kitaake_Chr11_29074874	OsKitaake11g238200,OsKitaake11g238300
kitaake_Chr11_29103015	OsKitaake11g238500,OsKitaake11g238600
kitaake_Chr11_29138179	OsKitaake11g238800
kitaake_Chr11_29150645	OsKitaake11g238900,OsKitaake11g239000
kitaake_Chr11_29161081	OsKitaake11g239100
kitaake_Chr11_29288258	None
kitaake_Chr11_29487775	OsKitaake11g242600
kitaake_Chr12_00180167	OsKitaake12g001968
kitaake_Chr12_00479085	OsKitaake12g005800
kitaake_Chr12_01224958	OsKitaake12g017550,OsKitaake12g017600,OsKitaake12g017700
kitaake_Chr12_01582433	OsKitaake12g024201
kitaake_Chr12_02337529	OsKitaake12g035900
kitaake_Chr12_02823564	None
kitaake_Chr12_02948530	None
kitaake_Chr12_03466364	None
kitaake_Chr12_04275018	OsKitaake12g058300
kitaake_Chr12_04925842	OsKitaake12g063400
kitaake_Chr12_04945308	OsKitaake12g063500
kitaake_Chr12_05229340	OsKitaake12g066100
kitaake_Chr12_05251891	OsKitaake12g066400
kitaake_Chr12_05485397	OsKitaake12g067000
kitaake_Chr12_05620042	OsKitaake12g068500
kitaake_Chr12_05799518	OsKitaake12g070000
kitaake_Chr12_05814307	OsKitaake12g070300
kitaake_Chr12_05887322	OsKitaake12g071000
kitaake_Chr12_06107688	OsKitaake12g072000
kitaake_Chr12_06134163	OsKitaake12g071600
kitaake_Chr12_06145749	None
kitaake_Chr12_06180104	OsKitaake12g071525
kitaake_Chr12_06239871	OsKitaake12g072500
kitaake_Chr12_06303757	OsKitaake12g072900
kitaake_Chr12_06940487	OsKitaake12g078500
kitaake_Chr12_07683229	OsKitaake12g083200
kitaake_Chr12_09362516	OsKitaake12g091300
kitaake_Chr12_09382619	OsKitaake12g091500
kitaake_Chr12_09506310	None
kitaake_Chr12_09560887	OsKitaake12g092300
kitaake_Chr12_09564868	None
kitaake_Chr12_09590861	OsKitaake12g092500,OsKitaake12g092600
kitaake_Chr12_09597931	OsKitaake12g092700
kitaake_Chr12_09638244	OsKitaake12g093000
kitaake_Chr12_10212714	OsKitaake12g096000
kitaake_Chr12_16222683	OsKitaake12g123700
kitaake_Chr12_16256600	OsKitaake12g123900
kitaake_Chr12_16277738	OsKitaake12g124100
kitaake_Chr12_16389000	OsKitaake12g124300
kitaake_Chr12_17108717	OsKitaake12g126000
kitaake_Chr12_17116854	OsKitaake12g126100
kitaake_Chr12_17317480	None
kitaake_Chr12_17466572	OsKitaake12g128500
kitaake_Chr12_17494620	OsKitaake12g128800
kitaake_Chr12_17779476	None
kitaake_Chr12_18030456	OsKitaake12g132700
kitaake_Chr12_18097456	None
kitaake_Chr12_18104371	None
kitaake_Chr12_18424062	OsKitaake12g134500
kitaake_Chr12_18556986	OsKitaake12g135900,OsKitaake12g136000
kitaake_Chr12_18596914	OsKitaake12g136900
kitaake_Chr12_19207367	OsKitaake12g143000,OsKitaake12g143100
kitaake_Chr12_19251901	OsKitaake12g143800
kitaake_Chr12_19261397	OsKitaake12g144000,OsKitaake12g144100
kitaake_Chr12_19276321	OsKitaake12g144200
kitaake_Chr12_19300125	OsKitaake12g144400
kitaake_Chr12_19348676	OsKitaake12g144900
kitaake_Chr12_19611229	OsKitaake12g146900
kitaake_Chr12_21987843	OsKitaake12g172500
kitaake_Chr12_21998747	OsKitaake12g172800
kitaake_Chr12_22008828	OsKitaake12g172850
kitaake_Chr12_22415310	None
kitaake_Chr12_22432463	OsKitaake12g175900
kitaake_Chr12_22718503	OsKitaake12g179000
kitaake_Chr12_22731632	OsKitaake12g179300
kitaake_Chr12_22739623	OsKitaake12g179400
kitaake_Chr12_22891836	OsKitaake12g181100
kitaake_Chr12_24004794	OsKitaake12g193000
kitaake_Chr12_25999050	OsKitaake12g215000
kitaake_Chr12_26714918	OsKitaake12g222000
kitaake_Chr12_26742003	OsKitaake12g222200
kitaake_Chr12_26952593	OsKitaake12g225900
